width,n_hidden,N,D,C,batch_size,lr,steps,iso_C,seed,init_loss,val_loss
64,2,6337,2097152,71147978752.0,256,0.002274483378171724,8192,0.0,1,1.0026075339317322,0.023449133373796942
64,2,6337,4194304,142295957504.0,256,0.001483020860819105,16384,0.0,1,1.0026075339317322,0.021776458472013475
64,2,6337,8388608,284591915008.0,256,0.0009669672219774685,32768,0.0,1,1.0026075339317322,0.020401576757431032
64,2,6337,16777216,569183830016.0,256,0.0006304871583953227,65536,0.0,1,1.0026075339317322,0.01930438190698624
128,2,20865,1024,119805952.0,256,0.014892756392592785,4,0.0,1,0.9777367806434631,0.32656843423843385
128,2,20865,2048,239611904.0,256,0.014892756392592785,8,0.0,1,0.9777367806434631,0.2550062930583954
128,2,20865,4096,479223808.0,256,0.014892756392592785,16,0.0,1,0.9777367806434631,0.21326262712478639
128,2,20865,8192,958447616.0,256,0.014892756392592785,32,0.0,1,0.9777367806434631,0.14025359809398652
128,2,20865,16384,1916895232.0,256,0.014892756392592785,64,0.0,1,0.9777367806434631,0.07122695654630662
128,2,20865,32768,3833790464.0,256,0.014892756392592785,128,0.0,1,0.9777367806434631,0.03572875283658505
128,2,20865,65536,7667580928.0,256,0.014892756392592785,256,0.0,1,0.9777367806434631,0.03203360199928284
128,2,20865,131072,15335161856.0,256,0.009710454961893622,512,0.0,1,0.9777367806434631,0.02956247538328171
128,2,20865,262144,30670323712.0,256,0.006331462966376256,1024,0.0,1,0.9777367806434631,0.02733842492103577
128,2,20865,524288,61340647424.0,256,0.004128274468282651,2048,0.0,1,0.9777367806434631,0.024372554607689383
128,2,20865,1048576,122681294848.0,256,0.0026917396778565663,4096,0.0,1,0.9777367806434631,0.021375352740287783
128,2,20865,2097152,245362589696.0,256,0.0017550825530167479,8192,0.0,1,0.9777367806434631,0.01898669194430113
128,2,20865,4194304,490725179392.0,256,0.0011443583468504805,16384,0.0,1,0.9777367806434631,0.017236895617097618
128,2,20865,8388608,981450358784.0,256,0.0007461506718048198,32768,0.0,1,0.9777367806434631,0.016025380454957487
128,2,20865,16777216,1962900717568.0,256,0.000486509166090372,65536,0.0,1,0.9777367806434631,0.015226803943514826
512,2,280065,1024,1687164928.0,256,0.008867570478021516,4,0.0,1,1.0176851844787598,0.5201312398910523
512,2,280065,2048,3374329856.0,256,0.008867570478021516,8,0.0,1,1.0176851844787598,0.3959867751598358
512,2,280065,4096,6748659712.0,256,0.008867570478021516,16,0.0,1,1.0176851844787598,0.21952115952968598
512,2,280065,8192,13497319424.0,256,0.008867570478021516,32,0.0,1,1.0176851844787598,0.12919747292995454
512,2,280065,16384,26994638848.0,256,0.008867570478021516,64,0.0,1,1.0176851844787598,0.043852729946374895
512,2,280065,32768,53989277696.0,256,0.008867570478021516,128,0.0,1,1.0176851844787598,0.031958431228995325
512,2,280065,65536,107978555392.0,256,0.008867570478021516,256,0.0,1,1.0176851844787598,0.028830407410860064
512,2,280065,131072,215957110784.0,256,0.00578188090091053,512,0.0,1,1.0176851844787598,0.0254156181961298
512,2,280065,262144,431914221568.0,256,0.003769933020004902,1024,0.0,1,1.0176851844787598,0.02134108752012253
512,2,280065,524288,863828443136.0,256,0.0024580919633064584,2048,0.0,1,1.0176851844787598,0.01785424839705229
512,2,280065,1048576,1727656886272.0,256,0.0016027383160414723,4096,0.0,1,1.0176851844787598,0.016097412668168547
512,2,280065,2097152,3455313772544.0,256,0.0010450260397304745,8192,0.0,1,1.0176851844787598,0.014509833175688984
512,2,280065,4194304,6910627545088.0,256,0.0006813834877374333,16384,0.0,1,1.0176851844787598,0.01339860678650439
512,2,280065,8388608,13821255090176.0,256,0.000444279319088521,32768,0.0,1,1.0176851844787598,0.01238945195451379
512,2,280065,16777216,27642510180352.0,256,0.0003,65536,0.0,1,1.0176851844787598,0.011694320235401394
